"tau_1","tau_2","tau_3","tau_4","tau_5","tau_6","tau_7","tau_8","tau_9","tau_10","total","ex_old","ex_new","ex_diff","ex_gap_res1","ex_gap_res_percent","Regime"
7.19423535103082,0.742914897369812,0.0558068596620136,0.00348577853323786,0.000196122921703102,1.04273431081368e-05,5.35236587017751e-07,2.65758774755572e-08,1.26681545243401e-09,5.74596900749694e-11,7.99664999999743,38.09,46.1,8.01,0.815764648969179,89.8156722975134,"1801-1851"
6.82981859696105,0.944910454527166,0.165212725221095,0.0310781177222965,0.00556397976494588,0.000916120655009653,0.000138106416391637,1.9126368301241e-05,2.44608645333682e-06,2.90418211410623e-07,7.97765996414092,46.1,54.09,7.99,1.16018140303895,85.4795819394374,"1851-1901"
15.5852633593247,2.64601595424811,0.335196699509494,0.0344920670534174,0.00300748658942696,0.000228120694071665,1.53330932925751e-05,9.26016534927323e-07,5.07947088932808e-08,2.5525839413081e-09,18.6042199998763,54.09,72.7,18.61,3.0247366406753,83.7467133762746,"1901-1951"
8.02594303760997,2.07014835725323,0.773527990513417,0.301065331179901,0.112896024803404,0.0398952297379183,0.0131936706198835,0.00407722922745056,0.0011782522593825,0.000318942561408348,11.342244065766,72.7,84.09,11.39,3.36405696239004,70.4648203477609,"1951-2016"
