"tau_1","tau_2","tau_3","tau_4","tau_5","tau_6","tau_7","tau_8","tau_9","tau_10","total","ex_old","ex_new","ex_diff","ex_gap_res1","ex_gap_res_percent","Regime"
2.21345095334041,0.139061950335412,0.0100204148081434,0.000722787262174609,5.02567889855701e-05,3.39583748606775e-06,2.25732744957746e-07,1.48600430225612e-08,9.6835864992462e-10,6.21068782087862e-11,2.36330999999586,35.72,38.09,2.37,0.156549046659599,93.3945549932659,"1801"
4.38711433619625,0.441097703919011,0.0474266176875909,0.00527955796515122,0.000631385646042162,8.50194223897072e-05,1.28641085386104e-05,2.09424497922824e-06,3.50662499319345e-07,5.86639582153367e-08,4.88164998851641,41.21,46.1,4.89,0.502885663803752,89.7160395950153,"1851"
2.29961947607586,0.119762228893208,0.00848362705592549,0.000720324841075706,6.72845969575207e-05,6.40913520228867e-06,5.927059703644e-07,5.20329572857451e-08,4.30213174384702e-09,3.34446780367058e-10,2.42865999997373,51.65,54.09,2.44,0.140380523924151,94.2466998391742,"1901"
2.53285050462716,0.119122447043286,0.00671770224620522,0.00042635065580282,3.04635011286072e-05,2.3366955041273e-06,1.80683449700994e-07,1.35186354204308e-08,9.60222293466445e-10,6.42977844693439e-11,2.65914999999569,70.04,72.7,2.66,0.127149495372834,95.2199437829762,"1951"
3.08441304855147,0.350949101626828,0.0484964176649694,0.00663926178891308,0.000856955909856754,0.000102606462785873,1.13345804215497e-05,1.15448888537077e-06,1.08625525278786e-07,9.47014163876124e-09,3.49146999916979,80.57,84.09,3.52000000000001,0.435586951448542,87.6253706974846,"2016"
